"LE_MET_level6","fishing_hours","Benthis_metiers","Benthis_metiers_2016_Wrong","Metier_level5","Metier_level4","JNCC_grouping","Fishing_category","Description","Fishing_category_FO","ID"
"LL_SPF_349",NA,NA,NA,"LL_SPF","LL",NA,"Static","Longlines","Static",253
"LL_SPF_624",NA,NA,NA,"LL_SPF","LL",NA,"Static","Longlines","Static",254
"LL_UNK_0",NA,NA,NA,"LL_UNK","LL",NA,"Static","Longlines","Static",255
"LL_UNK_349",NA,NA,NA,"LL_UNK","LL",NA,"Static","Longlines","Static",256
"LN_CRU_0_0_0",NA,NA,NA,"LN_CRU","LN",NA,"Static","Lift nets","Static",257
"LN_DEF_0_0_0",NA,NA,NA,"LN_CRU","LN",NA,"Static","Lift nets","Static",258
"LTL_DEF_0",NA,NA,NA,"LN_CRU","LTL",NA,"Static","Lines","Static",259
"LTL_DEF_0_0_0",NA,NA,NA,"LN_CRU","LTL",NA,"Static","Lines","Static",260
"OTB_CRU_100-119_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",261
"OTB_CRU_100_119_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",262
"OTB_CRU_1249",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",263
"OTB_CRU_16-31",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",264
"OTB_CRU_16-31_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",265
"OTB_CRU_16_31_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",266
"OTB_CRU_2499",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",267
"OTB_CRU_32-54_0_0",NA,"OT_CRU",NA,"OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",268
"OTB_CRU_32-69_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",269
"OTB_CRU_32-69_2_22",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",270
"OTB_CRU_32_54_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",271
"OTB_CRU_32_69_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",272
"OTB_CRU_349",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",273
"OTB_CRU_3999",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",274
"OTB_CRU_5000",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",275
"OTB_CRU_55-59_0_0",NA,"OT_CRU",NA,"OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",276
"OTB_CRU_55_69_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",277
"OTB_CRU_624",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",278
"OTB_CRU_70-89_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",279
"OTB_CRU_70-89_2_35",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",280
"OTB_CRU_70-99_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",281
"OTB_CRU_70_99_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",282
"OTB_CRU_874",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",283
"OTB_CRU_90-119_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",284
"OTB_CRU_90-119_1_120",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",285
"OTB_CRU_90-119_1_140",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",286
"OTB_CRU_90-119_1_300",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",287
"OTB_CRU_<16_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",288
"OTB_CRU_>0_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",289
"OTB_CRU_>=120_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",290
"OTB_CRU_>=120_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",291
"OTB_CRU_>=120_1_120",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",292
"OTB_CRU_>=55_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",293
"OTB_CRU_>=65_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",294
"OTB_CRU_>=70_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",295
"OTB_CRU_>=70_0_0",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",296
"OTB_CRU_UNK",NA,"OT_CRU","OT_CRU","OTB_CRU","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",297
"OTB_DEF_0",NA,"OT_DMF",NA,"OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",298
"OTB_DEF_0_0_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",299
"OTB_DEF_0_16_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",300
"OTB_DEF_100-119",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",301
"OTB_DEF_100-119_0_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",302
"OTB_DEF_100_119_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",303
"OTB_DEF_1249",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",304
"OTB_DEF_130-279_0_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",305
"OTB_DEF_130_0_0",NA,"OT_DMF",NA,"OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",306
"OTB_DEF_16-31_0_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",307
"OTB_DEF_16_31_0",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",308
"OTB_DEF_1749",NA,"OT_DMF","OT_DMF","OTB_DEF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",309
"OTB_DWS_100_119_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",310
"OTB_DWS_1249",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",311
"OTB_DWS_16_31_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",312
"OTB_DWS_1749",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",313
"OTB_DWS_2499",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",314
"OTB_DWS_32-69_0_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",315
"OTB_DWS_32_69_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",316
"OTB_DWS_3999",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",317
"OTB_DWS_5000",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",318
"OTB_DWS_70-99_0_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",319
"OTB_DWS_70_99_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",320
"OTB_DWS_874",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",321
"OTB_DWS_>=120_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",322
"OTB_DWS_>=120_0_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",323
"OTB_DWS_>=70_0",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",324
"OTB_DWS_UNK",NA,"OT_MIX_DMF_BEN","OT_MIX_DMF_BEN","OTB_DWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",325
"OTB_FIF_90-119_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",326
"OTB_FIF_90-119_1_120",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",327
"OTB_FWS_16-31_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",328
"OTB_FWS_32-54_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",329
"OTB_FWS_55-69_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",330
"OTB_FWS_624",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",331
"OTB_FWS_70-79_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",332
"OTB_FWS_90-99_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",333
"OTB_FWS_>0_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",334
"OTB_FWS_>=105_0_0",NA,"OT_DMF","OT_DMF","OTB_FWS","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",335
"OTB_LPF_100-119_0_0",NA,"OT_MIX_DMF_PEL",NA,"OTB_LPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",336
"OTB_LPF_70-99_0_0",NA,"OT_MIX_DMF_PEL",NA,"OTB_LPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",337
"OTB_LPF_>=120_0_0",NA,"OT_MIX_DMF_PEL",NA,"OTB_LPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",338
"OTB_MCD_100-119_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",339
"OTB_MCD_16-31_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",340
"OTB_MCD_70-99",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",341
"OTB_MCD_70-99_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",342
"OTB_MCD_90-119_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",343
"OTB_MCD_90-119_1_110",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",344
"OTB_MCD_90-119_1_120",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",345
"OTB_MCD_90-119_1_140",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",346
"OTB_MCD_90-119_1_300",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",347
"OTB_MCD_>0_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",348
"OTB_MCD_>=120_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",349
"OTB_MCD_UND_0_0",NA,"OT_MIX_CRU_DMF","OT_MIX_CRU","OTB_MCD","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",350
"OTB_MCF_100-119_0_0",NA,"OT_MIX_DMF_PEL","OT_MIX_DMF_PEL","OTB_MCF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",351
"OTB_MCF_32-69_0_0",NA,"OT_MIX_DMF_PEL","OT_MIX_DMF_PEL","OTB_MCF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",352
"OTB_SPF_70_99_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",353
"OTB_SPF_874",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",354
"OTB_SPF_90-119_0_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",355
"OTB_SPF_<16_0_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",356
"OTB_SPF_>=105_0_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",357
"OTB_SPF_>=120_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",358
"OTB_SPF_>=120_0_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",359
"OTB_SPF_>=70_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",360
"OTB_SPF_UNK",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",361
"OTB_SPF_misc_0_0",NA,"OT_SPF","OT_SPF","OTB_SPF","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",362
"OTB_UNK_0",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",363
"OTB_UNK_1249",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",364
"OTB_UNK_1749",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",365
"OTB_UNK_2499",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",366
"OTB_UNK_349",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",367
"OTB_UNK_3999",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",368
"OTB_UNK_5000",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",369
"OTB_UNK_624",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",370
"OTB_UNK_874",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",371
"OTB_UNK_UNK",NA,"OT_MIX",NA,"OTB_UNK","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",372
"OTB_unk_0_0",NA,"OT_MIX",NA,"OTB_unk","OTB","Otter_Trawl","Otter","Otter_Trawl","Otter",373
"OTG_UND_UND_0_0",NA,NA,NA,"OTG_UND","OTG",NA,"Other","Other","Other",374
"OTH_EEL_0_0_0",NA,NA,NA,"OTH_EEL","OTH",NA,"Other","Other","Other",375
"OTH_NA_0_0_0",NA,NA,NA,"OTH_EEL","OTH",NA,"Other","Other","Other",376
"OTM_ANA_UNK",NA,NA,NA,"OTM_ANA","OTM",NA,"Midwater","Midwater_Trawl","Midwater",377
"OTM_CAT_0_0_0",NA,NA,NA,"OTM_CAT","OTM",NA,"Midwater","Midwater_Trawl","Midwater",378
"OTM_CEP_0_0_0",NA,NA,NA,"OTM_CEP","OTM",NA,"Midwater","Midwater_Trawl","Midwater",379
"OTM_CRU_0",NA,NA,NA,"OTM_CRU","OTM",NA,"Midwater","Midwater_Trawl","Midwater",380
"OTM_CRU_1249",NA,NA,NA,"OTM_CRU","OTM",NA,"Midwater","Midwater_Trawl","Midwater",381
"OTM_CRU_16-31_0_0",NA,NA,NA,"OTM_CRU","OTM",NA,"Midwater","Midwater_Trawl","Midwater",382
"OTM_CRU_32-69_0_0",NA,NA,NA,"OTM_CRU","OTM",NA,"Midwater","Midwater_Trawl","Midwater",383
"OTM_CRU_70-99_0_0",NA,NA,NA,"OTM_CRU","OTM",NA,"Midwater","Midwater_Trawl","Midwater",384
"OTM_DEF_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",385
"OTM_DEF_0_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",386
"OTM_DEF_100-119_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",387
"OTM_DEF_100-129_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",388
"OTM_DEF_100_119_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",389
"OTM_DEF_1249",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",390
"OTM_DEF_16-31_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",391
"OTM_DEF_16_31_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",392
"OTM_DEF_2499",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",393
"OTM_DEF_32-69_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",394
"OTM_DEF_32_54_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",395
"OTM_DEF_32_69_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",396
"OTM_DEF_3999",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",397
"OTM_DEF_5000",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",398
"OTM_DEF_55_69_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",399
"OTM_DEF_70-99_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",400
"OTM_DEF_70_99_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",401
"OTM_DEF_90-104_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",402
"OTM_DEF_90-119_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",403
"OTM_DEF_90-99_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",404
"OTM_DEF_<16_0_0",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",405
"OTM_DEF_>=105_0_110",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",406
"OTM_DEF_>=105_1_110",NA,NA,NA,"OTM_DEF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",407
"OTM_SPF_UND_0_0",NA,NA,NA,"OTM_SPF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",408
"OTM_SPF_UNK",NA,NA,NA,"OTM_SPF","OTM",NA,"Midwater","Midwater_Trawl","Midwater",409
"OTM_UNK_2499",NA,NA,NA,"OTM_UNK","OTM",NA,"Midwater","Midwater_Trawl","Midwater",410
"OTM_UNK_UNK",NA,NA,NA,"OTM_UNK","OTM",NA,"Midwater","Midwater_Trawl","Midwater",411
"OTS_CRU_349",NA,"OT_CRU","OT_MIX_CRU","OTS_CRU","OTS","Otter_Trawl","Otter","Twin_Otter_Trawl","Otter",412
"OTS_CRU_624",NA,"OT_CRU","OT_MIX_CRU","OTS_CRU","OTS","Otter_Trawl","Otter","Twin_Otter_Trawl","Otter",413
"OTS_DEF_3999",NA,"OT_DMF","OT_DMF","OTS_DEF","OTS","Otter_Trawl","Otter","Twin_Otter_Trawl","Otter",414
"OTT_CEP_0_0_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",415
"OTT_CEP_100_119_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",416
"OTT_CEP_16_31_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",417
"OTT_CEP_32_54_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",418
"OTT_CEP_32_69_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",419
"OTT_CEP_55_69_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",420
"OTT_CEP_70_99_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",421
"OTT_CEP_>=120_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",422
"OTT_CEP_>=70_0",NA,"OT_MIX",NA,"OTT_CEP","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",423
"OTT_CHECK_100-119_0_",NA,NA,NA,"OTT_CHE","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",424
"OTT_CHECK_70-99_0_0",NA,NA,NA,"OTT_CHE","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",425
"OTT_CHECK_>=120_0_0",NA,NA,NA,"OTT_CHE","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",426
"OTT_CRU_0",NA,"OT_CRU",NA,"OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",427
"OTT_CRU_0_0_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",428
"OTT_CRU_0_16_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",429
"OTT_CRU_100-119_0_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",430
"OTT_CRU_100_119_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",431
"OTT_CRU_16-31_0_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",432
"OTT_CRU_16_31_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",433
"OTT_CRU_32-69_0_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",434
"OTT_CRU_32-69_2_22",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",435
"OTT_CRU_32_54_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",436
"OTT_CRU_32_69_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",437
"OTT_CRU_55_69_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",438
"OTT_CRU_624",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",439
"OTT_CRU_70-89_2_35",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",440
"OTT_CRU_70-99_0_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",441
"OTT_CRU_70_99_0",NA,"OT_CRU","OT_CRU","OTT_CRU","OTT","Otter_Trawl_Twin","Otter","Twin_Otter_Trawl","Otter",442
