"LE_MET_level6","fishing_hours","Benthis_metiers","Benthis_metiers_2016_Wrong","Metier_level5","Metier_level4","JNCC_grouping","Fishing_category","Description","Fishing_category_FO","ID"
"GNC_DEF_110-156_0_0",NA,NA,NA,"GNC_DEF","GNC",NA,"Static","Gillnet","Static",35
"GNC_DEF_157-219_0_0",NA,NA,NA,"GNC_DEF","GNC",NA,"Static","Gillnet","Static",36
"GNC_DEF_349",NA,NA,NA,"GNC_DEF","GNC",NA,"Static","Gillnet","Static",37
"GNC_SPF_0_0_0",NA,NA,NA,"GNC_SPF","GNC",NA,"Static","Gillnet","Static",38
"GND_ANA_0_0_0",NA,NA,NA,"GND_ANA","GND",NA,"Static","Drift_gillnets","Static",39
"GND_ANA_>=157_0_0",NA,NA,NA,"GND_ANA","GND",NA,"Static","Drift_gillnets","Static",40
"GND_CAT_0_0_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",41
"GND_CAT_0_40_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",42
"GND_CAT_100_119_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",43
"GND_CAT_50_59_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",44
"GND_CAT_50_70_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",45
"GND_CAT_60_79_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",46
"GND_CAT_80_99_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",47
"GND_CAT_>=100_0",NA,NA,NA,"GND_CAT","GND",NA,"Static","Drift_gillnets","Static",48
"GND_DEF_0_0_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",49
"GND_DEF_0_40_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",50
"GND_DEF_100_119_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",51
"GND_DEF_10_30_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",52
"GND_DEF_120_219_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",53
"GND_DEF_40_49_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",54
"GND_DEF_50_59_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",55
"GND_DEF_50_70_0",NA,NA,NA,"GND_DEF","GND",NA,"Static","Drift_gillnets","Static",56
